patient_id,case_id,dice_RV,dice_MYO,dice_LV,mean_dice
patient002,patient002_frame01,0.93440181016922,0.8294609189033508,0.9532067775726318,0.9056898355484009
patient002,patient002_frame12,0.7937848567962646,0.8536661863327026,0.9373998641967773,0.8616169691085815
patient010,patient010_frame01,0.9122606515884399,0.8221051692962646,0.9630074501037598,0.8991244236628214
patient010,patient010_frame13,0.8326708078384399,0.8196818828582764,0.9590977430343628,0.8704834779103597
patient011,patient011_frame01,0.8586109280586243,0.8237168192863464,0.9607529640197754,0.8810269037882487
patient011,patient011_frame08,0.818159818649292,0.8237742781639099,0.9424600601196289,0.8614647189776102
patient016,patient016_frame01,0.929258406162262,0.767760694026947,0.9556291699409485,0.8842160900433859
patient016,patient016_frame12,0.8057381510734558,0.7844510674476624,0.9521647691726685,0.8474513292312622
patient038,patient038_frame01,0.9101938009262085,0.8283481001853943,0.9557649493217468,0.8981022834777832
patient038,patient038_frame11,0.7389098405838013,0.8562489748001099,0.8900680541992188,0.82840895652771
patient042,patient042_frame01,0.9300909042358398,0.8150231838226318,0.9649419188499451,0.9033520023028055
patient042,patient042_frame16,0.8117146492004395,0.8264209032058716,0.9452785849571228,0.8611380457878113
patient043,patient043_frame01,0.7487326264381409,0.7841819524765015,0.9508777856826782,0.8279307881991068
patient043,patient043_frame07,0.7324636578559875,0.8016529083251953,0.9344707727432251,0.822862446308136
patient046,patient046_frame01,0.8573444485664368,0.8524914383888245,0.9489714503288269,0.8862691124280294
patient046,patient046_frame10,0.8532322645187378,0.8913345336914062,0.9303001165390015,0.8916223049163818
patient049,patient049_frame01,0.7702587246894836,0.6846094727516174,0.8438687920570374,0.7662456631660461
patient049,patient049_frame11,0.2269761860370636,0.7221750020980835,0.8451712727546692,0.5981074869632721
patient051,patient051_frame01,0.9322195053100586,0.7635365128517151,0.9371232390403748,0.8776264190673828
patient051,patient051_frame11,0.8453906774520874,0.7420529723167419,0.8576072454452515,0.8150169650713602
patient056,patient056_frame01,0.9390029311180115,0.8386682271957397,0.9644126296043396,0.9140279293060303
patient056,patient056_frame12,0.8286879062652588,0.8412426710128784,0.9303249716758728,0.8667518496513367
patient057,patient057_frame01,0.8857582807540894,0.8484010100364685,0.9307109713554382,0.8882900873819987
patient057,patient057_frame09,0.8492973446846008,0.8780040144920349,0.936164140701294,0.8878218332926432
patient066,patient066_frame01,0.8496341109275818,0.8592647314071655,0.9648095369338989,0.8912361264228821
patient066,patient066_frame11,0.8010122179985046,0.8592217564582825,0.8954683542251587,0.8519007762273153
patient071,patient071_frame01,0.9180957078933716,0.8361383080482483,0.9630908966064453,0.9057749708493551
patient071,patient071_frame09,0.8037900924682617,0.8577589988708496,0.8793115615844727,0.846953550974528
patient073,patient073_frame01,0.924649178981781,0.8519513010978699,0.9510997533798218,0.9092334111531576
patient073,patient073_frame10,0.8155009150505066,0.9013260006904602,0.8951196670532227,0.8706488609313965
patient074,patient074_frame01,0.9602726697921753,0.9125171303749084,0.9736341238021851,0.948807974656423
patient074,patient074_frame12,0.9456285834312439,0.9123615622520447,0.9450141787528992,0.9343347748120626
patient077,patient077_frame01,0.9267739653587341,0.7997432947158813,0.9473838806152344,0.89130038022995
patient077,patient077_frame09,0.9056214094161987,0.8477372527122498,0.8846831917762756,0.8793472846349081
patient079,patient079_frame01,0.9399078488349915,0.8730989098548889,0.9518278241157532,0.9216115276018778
patient079,patient079_frame11,0.8452805876731873,0.872378408908844,0.9029960632324219,0.8735516866048177
patient092,patient092_frame01,0.929901659488678,0.8264167904853821,0.9467349648475647,0.9010178049405416
patient092,patient092_frame06,0.8483310341835022,0.8868211507797241,0.914086639881134,0.8830796082814535
patient093,patient093_frame01,0.8743662238121033,0.6961153745651245,0.931111752986908,0.8338644504547119
patient093,patient093_frame14,0.6873185634613037,0.8124294281005859,0.8754863739013672,0.7917447884877523
