patient_id,case_id,dice_RV,dice_MYO,dice_LV,mean_dice
patient002,patient002_frame01,0.9248814582824707,0.8225334286689758,0.9492126703262329,0.8988758524258932
patient002,patient002_frame12,0.6373340487480164,0.8518255352973938,0.9311123490333557,0.8067573110262553
patient010,patient010_frame01,0.889983594417572,0.8039172887802124,0.9583182334899902,0.8840730388959249
patient010,patient010_frame13,0.8601617217063904,0.8115749359130859,0.9554066061973572,0.8757144212722778
patient011,patient011_frame01,0.8270531296730042,0.8021461367607117,0.9586116075515747,0.8626036246617635
patient011,patient011_frame08,0.7825181484222412,0.8229628801345825,0.9529396891593933,0.8528069059054056
patient016,patient016_frame01,0.9124162197113037,0.64435875415802,0.9084677696228027,0.8217475811640421
patient016,patient016_frame12,0.7776168584823608,0.7201793789863586,0.92906653881073,0.8089542587598165
patient038,patient038_frame01,0.8888376355171204,0.8355153203010559,0.9404593706130981,0.8882707754770914
patient038,patient038_frame11,0.7750515341758728,0.8552603125572205,0.8922078013420105,0.8408398826917013
patient042,patient042_frame01,0.9153696894645691,0.7615016102790833,0.9466162919998169,0.8744958639144897
patient042,patient042_frame16,0.7846563458442688,0.7646973133087158,0.9010009765625,0.8167848785718282
patient043,patient043_frame01,0.8811784982681274,0.7847951054573059,0.951848566532135,0.8726073900858561
patient043,patient043_frame07,0.777176558971405,0.7877811789512634,0.9277817010879517,0.8309131463368734
patient046,patient046_frame01,0.840653657913208,0.8408530950546265,0.942680299282074,0.8747290174166361
patient046,patient046_frame10,0.6768230199813843,0.8596376180648804,0.9030161499977112,0.8131589293479919
patient049,patient049_frame01,0.6574909090995789,0.6138016581535339,0.8299892544746399,0.7004272739092509
patient049,patient049_frame11,0.2604435384273529,0.6486777663230896,0.8266089558601379,0.5785767535368601
patient051,patient051_frame01,0.8948474526405334,0.7619466185569763,0.94504314661026,0.86727907260259
patient051,patient051_frame11,0.8337449431419373,0.7617108225822449,0.8765256404876709,0.8239938020706177
patient056,patient056_frame01,0.9251844882965088,0.8248652815818787,0.959270179271698,0.9031066497166952
patient056,patient056_frame12,0.8599870204925537,0.8329061269760132,0.9241270422935486,0.8723400632540385
patient057,patient057_frame01,0.8793442249298096,0.7996510863304138,0.9119518995285034,0.8636490702629089
patient057,patient057_frame09,0.8579822182655334,0.828765332698822,0.8775668144226074,0.8547714551289877
patient066,patient066_frame01,0.8256332874298096,0.8275834321975708,0.9541564583778381,0.8691243926684061
patient066,patient066_frame11,0.821912944316864,0.8800241947174072,0.9124501943588257,0.8714624444643656
patient071,patient071_frame01,0.9069490432739258,0.8133658766746521,0.9583704471588135,0.8928951223691305
patient071,patient071_frame09,0.8739554286003113,0.8471415042877197,0.8429251313209534,0.8546740214029948
patient073,patient073_frame01,0.7589009404182434,0.7986522912979126,0.9279314875602722,0.8284949064254761
patient073,patient073_frame10,0.6281582713127136,0.8669929504394531,0.8494853973388672,0.7815455396970113
patient074,patient074_frame01,0.9620529413223267,0.909747302532196,0.972571849822998,0.9481240312258402
patient074,patient074_frame12,0.9475334286689758,0.9269395470619202,0.9498472809791565,0.9414400855700175
patient077,patient077_frame01,0.900868833065033,0.8025472164154053,0.947699248790741,0.8837050994237264
patient077,patient077_frame09,0.8280634880065918,0.8468570709228516,0.8818172812461853,0.8522459467252096
patient079,patient079_frame01,0.9400706887245178,0.8513720631599426,0.9474604725837708,0.9129677414894104
patient079,patient079_frame11,0.8323203921318054,0.8598513603210449,0.8843052387237549,0.858825663725535
patient092,patient092_frame01,0.9054757356643677,0.7907269597053528,0.9426088333129883,0.8796038428942362
patient092,patient092_frame06,0.7867909073829651,0.8492998480796814,0.8773801922798157,0.8378236492474874
patient093,patient093_frame01,0.8635185360908508,0.6645176410675049,0.919350266456604,0.8157954812049866
patient093,patient093_frame14,0.7405164837837219,0.7621166706085205,0.8837611079216003,0.7954647541046143
