patient_id,case_id,dice_RV,dice_MYO,dice_LV,mean_dice
patient002,patient002_frame01,0.9083102941513062,0.8298017382621765,0.9533880352973938,0.8971666892369589
patient002,patient002_frame12,0.6937646865844727,0.8591483235359192,0.9353162050247192,0.8294097383817037
patient010,patient010_frame01,0.9143427014350891,0.7928017973899841,0.9574760794639587,0.8882068594296774
patient010,patient010_frame13,0.8468694090843201,0.8019855618476868,0.9548611044883728,0.8679053584734598
patient011,patient011_frame01,0.8504074811935425,0.7991107702255249,0.963720977306366,0.8710797429084778
patient011,patient011_frame08,0.8418165445327759,0.8332304954528809,0.9594641327857971,0.878170390923818
patient016,patient016_frame01,0.917891800403595,0.6803470849990845,0.9253755211830139,0.8412048021952311
patient016,patient016_frame12,0.7770947217941284,0.7329720258712769,0.9441182017326355,0.8180616497993469
patient038,patient038_frame01,0.8371667861938477,0.7896749377250671,0.9509996771812439,0.8592804670333862
patient038,patient038_frame11,0.7539998888969421,0.8568764328956604,0.8779090046882629,0.8295951088269552
patient042,patient042_frame01,0.9256048798561096,0.7721623778343201,0.943665087223053,0.8804774483044943
patient042,patient042_frame16,0.8396507501602173,0.7909009456634521,0.9091212749481201,0.8465576569239298
patient043,patient043_frame01,0.843875527381897,0.7801012992858887,0.9493604898452759,0.8577791055043539
patient043,patient043_frame07,0.8129339814186096,0.7877307534217834,0.9210501909255981,0.8405716419219971
patient046,patient046_frame01,0.8969465494155884,0.8521960973739624,0.9491994976997375,0.8994473814964294
patient046,patient046_frame10,0.794935941696167,0.8691612482070923,0.9235986471176147,0.862565279006958
patient049,patient049_frame01,0.6858648061752319,0.6482417583465576,0.8235139846801758,0.7192068497339884
patient049,patient049_frame11,0.2582959532737732,0.7048510313034058,0.8668776750564575,0.6100082198778788
patient051,patient051_frame01,0.9242860078811646,0.7702203989028931,0.9415222406387329,0.8786762158075968
patient051,patient051_frame11,0.8416184782981873,0.793432891368866,0.8843315243721008,0.8397942980130514
patient056,patient056_frame01,0.9324766397476196,0.8296641111373901,0.9585983157157898,0.9069130222002665
patient056,patient056_frame12,0.790073037147522,0.8446894884109497,0.930681586265564,0.8551480372746786
patient057,patient057_frame01,0.8758077025413513,0.8502748012542725,0.9303320646286011,0.885471522808075
patient057,patient057_frame09,0.7395179867744446,0.8621361255645752,0.9251530170440674,0.8422690431276957
patient066,patient066_frame01,0.833358883857727,0.8398564457893372,0.9636118412017822,0.8789423902829488
patient066,patient066_frame11,0.841508150100708,0.8784568905830383,0.908507764339447,0.8761576016743978
patient071,patient071_frame01,0.9181788563728333,0.8322343230247498,0.9603805541992188,0.903597911198934
patient071,patient071_frame09,0.8678333163261414,0.8517814874649048,0.8511089086532593,0.8569079041481018
patient073,patient073_frame01,0.8431563973426819,0.8105222582817078,0.9373342990875244,0.8636709849039713
patient073,patient073_frame10,0.7088719010353088,0.8750375509262085,0.8664358258247375,0.816781759262085
patient074,patient074_frame01,0.9621598720550537,0.9179689884185791,0.9730759859085083,0.9510682821273804
patient074,patient074_frame12,0.9461987018585205,0.9219762086868286,0.9477379322052002,0.9386376142501831
patient077,patient077_frame01,0.9044654369354248,0.8060663938522339,0.9430329203605652,0.8845215837160746
patient077,patient077_frame09,0.8808383345603943,0.8326558470726013,0.8440366983413696,0.8525102933247884
patient079,patient079_frame01,0.9345460534095764,0.8639695644378662,0.9521534442901611,0.9168896873792013
patient079,patient079_frame11,0.8734584450721741,0.8637455105781555,0.871526300907135,0.8695767521858215
patient092,patient092_frame01,0.9184138774871826,0.7961772084236145,0.9453278183937073,0.8866396347681681
patient092,patient092_frame06,0.8489573001861572,0.8646847605705261,0.9063741564750671,0.8733387390772501
patient093,patient093_frame01,0.8113107085227966,0.6853068470954895,0.9295668005943298,0.8087281187375387
patient093,patient093_frame14,0.7053439617156982,0.7470816969871521,0.8681966066360474,0.7735407551129659
